OG0004339: CAFRA.g5381.t1 CANGA.Cang_2012_03_13_00005.g399.t1 CBREN.CBN01020 CBRIG.CBG02720 CCAST.g5173.t1 CDOUG.g22128.t1 CELEG.T19H5.4a CJAPO.CJA11151 CKAMA.g4705.t1 CLATE.FL83_12743-RA CMONO.g19726.t1 CNOUR.g13621.t1 CPLIC.g11679.t1 CREMA.FL82_05895-RA CSINI.Csp5_scaffold_00438.g11377.t1 CSP21.g981.t1 CSP26.g20449.t1 CSP28.g12869.t1 CSP29.g6585.t1 CSP31.g27140.t1 CSP32.g14302.t1 CSP34.Sp34_20198210.t1 CSP38.g3009.t1 CSP39.g16337.t1 CSP40.g6196.t1 CTROP.Csp11.Scaffold629.g7914.t1 CVIRI.g7496.t1 DCORO.DCO_022139
OG0006955: CAFRA.g6058.t1 CANGA.Cang_2012_03_13_00027.g1649.t1 CBREN.CBN26319 CBRIG.CBG01477 CCAST.g4955.t1 CDOUG.g9890.t1 CELEG.F41E6.5b CJAPO.CJA16950 CKAMA.g19048.t1 CLATE.FL83_16998-RA CMONO.g5854.t1 CNOUR.g348.t1 CPLIC.g547.t1 CREMA.FL82_08795-RA CSINI.Csp5_scaffold_00857.g16164.t1 CSP21.g13148.t1 CSP26.g20866.t1 CSP28.g8719.t1 CSP29.g20356.t1 CSP31.g15482.t1 CSP32.g7259.t1 CSP34.Sp34_50116700.t1 CSP38.g12823.t1 CSP39.g3875.t1 CSP40.g2806.t1 CTROP.Csp11.Scaffold541.g3387.t1 CVIRI.g7814.t1 DCORO.DCO_013931
OG0006958: CAFRA.g6139.t1 CANGA.Cang_2012_03_13_00026.g1558.t1 CBREN.CBN02884 CBRIG.CBG19095 CCAST.g16838.t1 CDOUG.g3819.t1 CELEG.F09G2.5 CJAPO.CJA05276 CKAMA.g5593.t1 CLATE.FL83_09732-RA CMONO.g18803.t1 CNOUR.g9899.t1 CPLIC.g11894.t1 CREMA.FL82_20978-RA CSINI.Csp5_scaffold_01148.g18763.t1 CSP21.g9735.t2 CSP26.g16544.t1 CSP28.g8686.t1 CSP29.g20093.t1 CSP31.g18742.t1 CSP32.g7185.t1 CSP34.Sp34_50227900.t1 CSP38.g6078.t1 CSP39.g7871.t1 CSP40.g21484.t1 CTROP.Csp11.Scaffold629.g15426.t1 CVIRI.g15482.t1 DCORO.DCO_007037
OG0006960: CAFRA.g6148.t1 CANGA.Cang_2012_03_13_00558.g12209.t1 CBREN.CBN05568 CBRIG.CBG19105 CCAST.g16847.t1 CDOUG.g2399.t1 CELEG.C13F10.2 CJAPO.CJA05556 CKAMA.g5600.t1 CLATE.FL83_09722-RA CMONO.g5184.t1 CNOUR.g9889.t1 CPLIC.g237.t1 CREMA.FL82_20991-RA CSINI.Csp5_scaffold_02620.g27262.t1 CSP21.g2010.t1 CSP26.g17889.t1 CSP28.g8678.t1 CSP29.g20084.t1 CSP31.g18752.t1 CSP32.g7174.t1 CSP34.Sp34_50226800.t1 CSP38.g2361.t1 CSP39.g22938.t1 CSP40.g21475.t1 CTROP.Csp11.Scaffold629.g15414.t1 CVIRI.g564.t1 DCORO.DCO_021919
OG0006965: CAFRA.g6242.t1 CANGA.Cang_2012_03_13_00093.g4151.t1 CBREN.CBN06580 CBRIG.CBG08580 CCAST.g729.t1 CDOUG.g13444.t1 CELEG.F18E2.5b CJAPO.CJA08475a CKAMA.g15664.t1 CLATE.FL83_13940-RA CMONO.g16961.t1 CNOUR.g20763.t1 CPLIC.g10531.t1 CREMA.FL82_11101-RA CSINI.Csp5_scaffold_01575.g21828.t1 CSP21.g1363.t1 CSP26.g4931.t1 CSP28.g6082.t1 CSP29.g19145.t1 CSP31.g1023.t1 CSP32.g12311.t1 CSP34.Sp34_50179100.t1 CSP38.g4768.t1 CSP39.g6978.t1 CSP40.g18508.t1 CTROP.Csp11.Scaffold630.g21507.t1 CVIRI.g9904.t1 DCORO.DCO_014019
OG0006966: CAFRA.g6292.t1 CANGA.Cang_2012_03_13_00450.g10990.t1 CBREN.CBN19236 CBRIG.CBG18052 CCAST.g3299.t1 CDOUG.g11654.t1 CELEG.C07G2.3a.1 CJAPO.CJA04634 CKAMA.g12902.t1 CLATE.FL83_14959-RA CMONO.g10860.t1 CNOUR.g7988.t1 CPLIC.g5546.t1 CREMA.FL82_09961-RA CSINI.Csp5_scaffold_00315.g9269.t2 CSP21.g8470.t1 CSP26.g9113.t1 CSP28.g12814.t1 CSP29.g20202.t1 CSP31.g24051.t1 CSP32.g3448.t1 CSP34.Sp34_30073010.t1 CSP38.g2432.t1 CSP39.g1545.t2 CSP40.g18626.t1 CTROP.Csp11.Scaffold544.g3432.t1 CVIRI.g7479.t1 DCORO.DCO_008953
OG0006973: CAFRA.g6350.t1 CANGA.Cang_2012_03_13_00316.g9069.t2 CBREN.CBN28317 CBRIG.CBG18249 CCAST.g11402.t1 CDOUG.g17453.t1 CELEG.T12D8.4 CJAPO.CJA17189 CKAMA.g937.t1 CLATE.FL83_18177-RA CMONO.g9420.t1 CNOUR.g1215.t1 CPLIC.g5830.t1 CREMA.FL82_09708-RA CSINI.Csp5_scaffold_00269.g8365.t1 CSP21.g15430.t1 CSP26.g1714.t1 CSP28.g9439.t1 CSP29.g10847.t1 CSP31.g21080.t1 CSP32.g4886.t1 CSP34.Sp34_30104900.t1 CSP38.g13979.t1 CSP39.g6683.t1 CSP40.g13216.t1 CTROP.Csp11.Scaffold628.g7229.t1 CVIRI.g1893.t1 DCORO.DCO_011019
OG0006974: CAFRA.g6351.t1 CANGA.Cang_2012_03_13_00250.g7883.t1 CBREN.CBN22127 CBRIG.CBG18247 CCAST.g11395.t1 CDOUG.g17454.t1 CELEG.T12D8.3 CJAPO.CJA04163 CKAMA.g936.t1 CLATE.FL83_18178-RA CMONO.g9422.t1 CNOUR.g1206.t1 CPLIC.g5831.t1 CREMA.FL82_09709-RA CSINI.Csp5_scaffold_00269.g8362.t1 CSP21.g755.t1 CSP26.g1713.t1 CSP28.g9438.t1 CSP29.g10846.t1 CSP31.g21079.t1 CSP32.g4885.t1 CSP34.Sp34_30104800.t1 CSP38.g21553.t1 CSP39.g5459.t1 CSP40.g13217.t1 CTROP.Csp11.Scaffold628.g7228.t1 CVIRI.g16181.t1 DCORO.DCO_017739
OG0006987: CAFRA.g6652.t1 CANGA.Cang_2012_03_13_00943.g15052.t3 CBREN.CBN26375 CBRIG.CBG05891 CCAST.g4266.t1 CDOUG.g13717.t1 CELEG.F55G1.15 CJAPO.CJA17651 CKAMA.g1661.t1 CLATE.FL83_18750-RA CMONO.g3562.t1 CNOUR.g21020.t1 CPLIC.g418.t1 CREMA.FL82_04075-RA CSINI.Csp5_scaffold_00440.g11407.t2 CSP21.g14531.t1 CSP26.g18817.t1 CSP28.g9084.t1 CSP29.g3462.t1 CSP31.g17062.t1 CSP32.g16334.t1 CSP34.Sp34_40300000.t1 CSP38.g11109.t1 CSP39.g3901.t1 CSP40.g19439.t1 CTROP.Csp11.Scaffold630.g21189.t1 CVIRI.g4979.t1 DCORO.DCO_007083
OG0006989: CAFRA.g6666.t1 CANGA.Cang_2012_03_13_00172.g6182.t2 CBREN.CBN20093 CBRIG.CBG05852 CCAST.g1978.t1 CDOUG.g10137.t1 CELEG.T12B3.4a CJAPO.CJA04671 CKAMA.g1649.t1 CLATE.FL83_18760-RA CMONO.g7876.t1 CNOUR.g21011.t1 CPLIC.g8403.t1 CREMA.FL82_04065-RA CSINI.Csp5_scaffold_00060.g2925.t1 CSP21.g667.t1 CSP26.g18803.t1 CSP28.g9093.t1 CSP29.g3469.t1 CSP31.g5338.t1 CSP32.g16344.t1 CSP34.Sp34_40297600.t1 CSP38.g6893.t1 CSP39.g5047.t1 CSP40.g19426.t1 CTROP.Csp11.Scaffold630.g21175.t1 CVIRI.g13238.t1 DCORO.DCO_017117
OG0006992: CAFRA.g6706.t1 CANGA.Cang_2012_03_13_00198.g6791.t1 CBREN.CBN22772 CBRIG.CBG18471 CCAST.g5019.t1 CDOUG.g16580.t1 CELEG.T26A8.4 CJAPO.CJA04587 CKAMA.g14160.t1 CLATE.FL83_11705-RA CMONO.g5367.t1 CNOUR.g12015.t1 CPLIC.g3918.t1 CREMA.FL82_03245-RA CSINI.Csp5_scaffold_00017.g1086.t1 CSP21.g11037.t1 CSP26.g13405.t2 CSP28.g9177.t1 CSP29.g3555.t1 CSP31.g7967.t1 CSP32.g9040.t1 CSP34.Sp34_40066100.t1 CSP38.g2252.t1 CSP39.g1749.t1 CSP40.g2948.t1 CTROP.Csp11.Scaffold630.g17243.t1 CVIRI.g11996.t1 DCORO.DCO_006737
OG0006993: CAFRA.g6716.t1 CANGA.Cang_2012_03_13_00302.g8845.t1 CBREN.CBN28667 CBRIG.CBG21269 CCAST.g5026.t1 CDOUG.g19313.t1 CELEG.D2096.2a CJAPO.CJA15622 CKAMA.g4300.t1 CLATE.FL83_11691-RA CMONO.g1809.t1 CNOUR.g12048.t1 CPLIC.g3823.t1 CREMA.FL82_03227-RA CSINI.Csp5_scaffold_01514.g21405.t1 CSP21.g9881.t1 CSP26.g2806.t1 CSP28.g9206.t1 CSP29.g3586.t1 CSP31.g7977.t1 CSP32.g9050.t1 CSP34.Sp34_40064600.t1 CSP38.g18559.t1 CSP39.g26797.t1 CSP40.g2921.t1 CTROP.Csp11.Scaffold630.g17253.t1 CVIRI.g18159.t1 DCORO.DCO_020353
OG0006994: CAFRA.g6719.t1 CANGA.Cang_2012_03_13_00001.g48.t1 CBREN.CBN14824 CBRIG.CBG21258 CCAST.g12259.t1 CDOUG.g23922.t1 CELEG.K11H12.2 CJAPO.CJA02951 CKAMA.g4296.t1 CLATE.FL83_11680-RB CMONO.g1805.t1 CNOUR.g12042.t1 CPLIC.g3812.t1 CREMA.FL82_03220-RA CSINI.Csp5_scaffold_01717.g22708.t1 CSP21.g11210.t1 CSP26.g8367.t1 CSP28.g9201.t1 CSP29.g3580.t1 CSP31.g7983.t1 CSP32.g9053.t1 CSP34.Sp34_40064100.t1 CSP38.g10739.t1 CSP39.g24632.t1 CSP40.g10511.t1 CTROP.Csp11.Scaffold629.g8831.t1 CVIRI.g12227.t1 DCORO.DCO_020429
OG0006995: CAFRA.g6725.t1 CANGA.Cang_2012_03_13_00201.g6858.t1 CBREN.CBN30590 CBRIG.CBG05896 CCAST.g17574.t1 CDOUG.g13713.t1 CELEG.R05G6.8 CJAPO.CJA02216 CKAMA.g1665.t1 CLATE.FL83_18746-RA CMONO.g17397.t1 CNOUR.g12036.t1 CPLIC.g3806.t1 CREMA.FL82_04079-RA CSINI.Csp5_scaffold_00440.g11411.t1 CSP21.g5509.t1 CSP26.g18821.t1 CSP28.g9196.t1 CSP29.g3575.t1 CSP31.g7990.t1 CSP32.g9059.t1 CSP34.Sp34_40300500.t1 CSP38.g8637.t1 CSP39.g5477.t1 CSP40.g19442.t1 CTROP.Csp11.Scaffold630.g21193.t1 CVIRI.g16252.t1 DCORO.DCO_005449
OG0006999: CAFRA.g6812.t1 CANGA.Cang_2012_03_13_00302.g8832.t1 CBREN.CBN25279 CBRIG.CBG13298 CCAST.g18336.t1 CDOUG.g19687.t1 CELEG.C18D11.3.1 CJAPO.CJA09706 CKAMA.g13599.t1 CLATE.FL83_21020-RA CMONO.g5955.t1 CNOUR.g12365.t1 CPLIC.g9335.t1 CREMA.FL82_09848-RA CSINI.Csp5_scaffold_00239.g7722.t1 CSP21.g4012.t1 CSP26.g6354.t1 CSP28.g894.t1 CSP29.g718.t1 CSP31.g11043.t1 CSP32.g3408.t1 CSP34.Sp34_30086700.t1 CSP38.g16825.t1 CSP39.g5187.t1 CSP40.g20641.t1 CTROP.Csp11.Scaffold629.g14923.t1 CVIRI.g13678.t1 DCORO.DCO_021273
OG0007000: CAFRA.g6822.t1 CANGA.Cang_2012_03_13_00071.g3410.t1 CBREN.CBN09735 CBRIG.CBG13296 CCAST.g18343.t1 CDOUG.g19689.t1 CELEG.C18D11.1 CJAPO.CJA10801 CKAMA.g15375.t1 CLATE.FL83_21022-RA CMONO.g5945.t1 CNOUR.g12332.t1 CPLIC.g13359.t1 CREMA.FL82_09846-RA CSINI.Csp5_scaffold_00239.g7724.t1 CSP21.g4016.t1 CSP26.g6352.t1 CSP28.g3087.t1 CSP29.g746.t1 CSP31.g11037.t1 CSP32.g3398.t1 CSP34.Sp34_30087200.t1 CSP38.g16832.t1 CSP39.g17619.t1 CSP40.g20639.t1 CTROP.Csp11.Scaffold629.g14925.t1 CVIRI.g15280.t1 DCORO.DCO_018053
OG0007005: CAFRA.g6941.t1 CANGA.Cang_2012_03_13_00041.g2257.t1 CBREN.CBN11559 CBRIG.CBG13276 CCAST.g3278.t1 CDOUG.g15214.t1 CELEG.Y66D12A.24 CJAPO.CJA09387b CKAMA.g13304.t1 CLATE.FL83_17598-RA CMONO.g5941.t1 CNOUR.g12469.t1 CPLIC.g6847.t1 CREMA.FL82_09827-RA CSINI.Csp5_scaffold_00224.g7439.t1 CSP21.g4021.t1 CSP26.g6333.t1 CSP28.g13464.t1 CSP29.g18019.t1 CSP31.g11011.t1 CSP32.g3377.t1 CSP34.Sp34_30089400.t1 CSP38.g6370.t1 CSP39.g177.t1 CSP40.g20620.t1 CTROP.Csp11.Scaffold629.g14946.t1 CVIRI.g3870.t1 DCORO.DCO_003269
OG0007006: CAFRA.g6950.t1 CANGA.Cang_2012_03_13_00228.g7415.t2 CBREN.CBN17583 CBRIG.CBG13269 CCAST.g7698.t1 CDOUG.g15220.t1 CELEG.Y66D12A.15 CJAPO.CJA14824 CKAMA.g11395.t1 CLATE.FL83_17605-RA CMONO.g16221.t1 CNOUR.g17278.t1 CPLIC.g11445.t1 CREMA.FL82_09820-RA CSINI.Csp5_scaffold_00450.g11531.t1 CSP21.g4049.t1 CSP26.g6326.t1 CSP28.g13469.t1 CSP29.g17934.t1 CSP31.g11006.t1 CSP32.g3369.t1 CSP34.Sp34_30090100.t1 CSP38.g12191.t1 CSP39.g785.t1 CSP40.g20614.t1 CTROP.Csp11.Scaffold488.g2021.t1 CVIRI.g3877.t1 DCORO.DCO_005189
OG0007009: CAFRA.g6971.t1 CANGA.Cang_2012_03_13_00139.g5397.t1 CBREN.CBN19775 CBRIG.CBG09135 CCAST.g15757.t1 CDOUG.g19908.t1 CELEG.T20B12.7 CJAPO.CJA20418 CKAMA.g10367.t1 CLATE.FL83_22435-RA CMONO.g12072.t1 CNOUR.g16024.t1 CPLIC.g13586.t1 CREMA.FL82_20939-RA CSINI.Csp5_scaffold_02648.g27384.t1 CSP21.g5801.t1 CSP26.g4007.t1 CSP28.g13479.t1 CSP29.g17942.t1 CSP31.g10992.t1 CSP32.g10564.t1 CSP34.Sp34_30052000.t1 CSP38.g14.t1 CSP39.g3547.t2 CSP40.g20179.t1 CTROP.Csp11.Scaffold629.g12611.t1 CVIRI.g8187.t1 DCORO.DCO_018701
OG0007015: CAFRA.g7091.t1 CANGA.Cang_2012_03_13_00070.g3339.t1 CBREN.CBN06788 CBRIG.CBG03423 CCAST.g16496.t1 CDOUG.g1635.t1 CELEG.T04B2.5.1 CJAPO.CJA14507 CKAMA.g372.t1 CLATE.FL83_20967-RA CMONO.g13266.t1 CNOUR.g2467.t1 CPLIC.g2313.t1 CREMA.FL82_03641-RA CSINI.Csp5_scaffold_00074.g3416.t1 CSP21.g10279.t1 CSP26.g18698.t1 CSP28.g2383.t1 CSP29.g6728.t1 CSP31.g13682.t1 CSP32.g10249.t1 CSP34.Sp34_40255500.t1 CSP38.g15192.t1 CSP39.g5866.t1 CSP40.g13068.t1 CTROP.Csp11.Scaffold585.g4808.t1 CVIRI.g6360.t1 DCORO.DCO_011007
OG0007016: CAFRA.g7137.t1 CANGA.Cang_2012_03_13_00253.g7942.t1 CBREN.CBN04064 CBRIG.CBG23894 CCAST.g10034.t1 CDOUG.g15014.t1 CELEG.T20B3.1 CJAPO.CJA03419 CKAMA.g11118.t1 CLATE.FL83_02849-RA CMONO.g12171.t1 CNOUR.g962.t1 CPLIC.g4724.t1 CREMA.FL82_14829-RA CSINI.Csp5_scaffold_01019.g17647.t1 CSP21.g1999.t1 CSP26.g7641.t1 CSP28.g7423.t1 CSP29.g18359.t1 CSP31.g26925.t1 CSP32.g6085.t1 CSP34.Sp34_50375800.t1 CSP38.g773.t1 CSP39.g1796.t1 CSP40.g24029.t1 CTROP.Csp11.Scaffold408.g969.t2 CVIRI.g7698.t1 DCORO.DCO_006867
OG0007018: CAFRA.g7218.t1 CANGA.Cang_2012_03_13_00441.g10902.t1 CBREN.CBN02799 CBRIG.CBG24192 CCAST.g9487.t1 CDOUG.g16080.t1 CELEG.Y6D11A.2 CJAPO.CJA38046a CKAMA.g2206.t1 CLATE.FL83_19046-RA CMONO.g1381.t1 CNOUR.g3819.t1 CPLIC.g9663.t1 CREMA.FL82_11644-RA CSINI.Csp5_scaffold_01136.g18675.t1 CSP21.g12853.t1 CSP26.g4687.t1 CSP28.g7263.t1 CSP29.g698.t1 CSP31.g10735.t1 CSP32.g961.t1 CSP34.Sp34_30331600.t1 CSP38.g15377.t1 CSP39.g5175.t1 CSP40.g6834.t1 CTROP.Csp11.Scaffold630.g16660.t1 CVIRI.g16457.t1 DCORO.DCO_016719
OG0007029: CAFRA.g7375.t1 CANGA.Cang_2012_03_13_00066.g3207.t1 CBREN.CBN07765 CBRIG.CBG03796 CCAST.g8344.t1 CDOUG.g10391.t1 CELEG.F26E4.9.1 CJAPO.CJA05477 CKAMA.g18983.t1 CLATE.FL83_17304-RA CMONO.g15272.t1 CNOUR.g8949.t1 CPLIC.g13195.t1 CREMA.FL82_16656-RA CSINI.Csp5_scaffold_01081.g18233.t1 CSP21.g6722.t1 CSP26.g3669.t1 CSP28.g774.t1 CSP29.g10426.t1 CSP31.g19238.t1 CSP32.g7996.t1 CSP34.Sp34_10057000.t1 CSP38.g13366.t1 CSP39.g5071.t1 CSP40.g597.t1 CTROP.Csp11.Scaffold629.g15333.t1 CVIRI.g5231.t1 DCORO.DCO_023251
OG0007030: CAFRA.g7391.t1 CANGA.Cang_2012_03_13_00241.g7684.t1 CBREN.CBN00399 CBRIG.CBG03814 CCAST.g4311.t1 CDOUG.g23281.t1 CELEG.C16C2.2a.1 CJAPO.CJA00570a CKAMA.g18995.t1 CLATE.FL83_20171-RA CMONO.g17711.t1 CNOUR.g8931.t1 CPLIC.g2217.t1 CREMA.FL82_16627-RA CSINI.Csp5_scaffold_00607.g13490.t2 CSP21.g7033.t1 CSP26.g3686.t1 CSP28.g758.t1 CSP29.g10411.t1 CSP31.g19283.t1 CSP32.g8012.t1 CSP34.Sp34_10210100.t1 CSP38.g11530.t1 CSP39.g656.t1 CSP40.g20207.t1 CTROP.Csp11.Scaffold629.g15325.t1 CVIRI.g5217.t1 DCORO.DCO_010381
OG0007031: CAFRA.g7392.t1 CANGA.Cang_2012_03_13_00241.g7685.t1 CBREN.CBN07581 CBRIG.CBG03815 CCAST.g4312.t1 CDOUG.g23280.t1 CELEG.C16C2.3a CJAPO.CJA13769 CKAMA.g18996.t1 CLATE.FL83_20169-RB CMONO.g17707.t1 CNOUR.g8930.t1 CPLIC.g2216.t1 CREMA.FL82_16626-RA CSINI.Csp5_scaffold_00607.g13491.t1 CSP21.g15209.t1 CSP26.g3687.t1 CSP28.g757.t1 CSP29.g10410.t1 CSP31.g19282.t1 CSP32.g8013.t1 CSP34.Sp34_10210000.t1 CSP38.g11531.t1 CSP39.g657.t2 CSP40.g20208.t1 CTROP.Csp11.Scaffold629.g15324.t1 CVIRI.g9993.t1 DCORO.DCO_009193
OG0007033: CAFRA.g7412.t1 CANGA.Cang_2012_03_13_00016.g1063.t2 CBREN.CBN10334 CBRIG.CBG03702 CCAST.g6300.t1 CDOUG.g20676.t1 CELEG.C03D6.8 CJAPO.CJA01887 CKAMA.g9513.t1 CLATE.FL83_11635-RA CMONO.g14066.t1 CNOUR.g8914.t1 CPLIC.g2768.t1 CREMA.FL82_09065-RA CSINI.Csp5_scaffold_00443.g11459.t1 CSP21.g12197.t1 CSP26.g3655.t1 CSP28.g738.t1 CSP29.g10394.t1 CSP31.g5882.t1 CSP32.g8033.t1 CSP34.Sp34_10060300.t1 CSP38.g3356.t1 CSP39.g24198.t1 CSP40.g609.t1 CTROP.Csp11.Scaffold629.g14654.t1 CVIRI.g4626.t1 DCORO.DCO_022413
OG0007040: CAFRA.g7600.t1 CANGA.Cang_2012_03_13_00183.g6416.t2 CBREN.CBN05174 CBRIG.CBG05808 CCAST.g3504.t2 CDOUG.g9351.t2 CELEG.R13A1.2c CJAPO.CJA07316 CKAMA.g13575.t1 CLATE.FL83_20910-RA CMONO.g18200.t1 CNOUR.g9078.t1 CPLIC.g565.t1 CREMA.FL82_04023-RA CSINI.Csp5_scaffold_00088.g3907.t1 CSP21.g9531.t1 CSP26.g1918.t2 CSP28.g16577.t1 CSP29.g6853.t1 CSP31.g19786.t1 CSP32.g5346.t1 CSP34.Sp34_40292910.t1 CSP38.g6683.t1 CSP39.g6263.t1 CSP40.g18746.t1 CTROP.Csp11.Scaffold630.g21130.t1 CVIRI.g3702.t1 DCORO.DCO_003201
OG0007042: CAFRA.g7637.t1 CANGA.Cang_2012_03_13_00035.g2002.t1 CBREN.CBN25428 CBRIG.CBG15996 CCAST.g10654.t1 CDOUG.g3460.t1 CELEG.F31B9.1 CJAPO.CJA25924 CKAMA.g10194.t1 CLATE.FL83_02178-RA CMONO.g669.t1 CNOUR.g17956.t1 CPLIC.g13240.t1 CREMA.FL82_15342-RA CSINI.Csp5_scaffold_00031.g1745.t1 CSP21.g4098.t1 CSP26.g9433.t1 CSP28.g5175.t1 CSP29.g14025.t1 CSP31.g23161.t1 CSP32.g8900.t1 CSP34.Sp34_X0038210.t1 CSP38.g15549.t1 CSP39.g14317.t1 CSP40.g4712.t1 CTROP.Csp11.Scaffold629.g13501.t1 CVIRI.g1351.t1 DCORO.DCO_013423
OG0007052: CAFRA.g7758.t1 CANGA.Cang_2012_03_13_01623.g16592.t1 CBREN.CBN15867 CBRIG.CBG15250 CCAST.g3769.t1 CDOUG.g10207.t1 CELEG.W06E11.4 CJAPO.CJA29324a CKAMA.g2229.t1 CLATE.FL83_19056-RA CMONO.g20175.t1 CNOUR.g1440.t1 CPLIC.g4101.t1 CREMA.FL82_11656-RA CSINI.Csp5_scaffold_01014.g17589.t1 CSP21.g6616.t1 CSP26.g11186.t1 CSP28.g14959.t1 CSP29.g524.t1 CSP31.g20866.t1 CSP32.g6767.t1 CSP34.Sp34_30328500.t1 CSP38.g8926.t1 CSP39.g10700.t1 CSP40.g6878.t1 CTROP.Csp11.Scaffold630.g16647.t1 CVIRI.g9662.t1 DCORO.DCO_018399
OG0007057: CAFRA.g7880.t1 CANGA.Cang_2012_03_13_01353.g16291.t1 CBREN.CBN09173 CBRIG.CBG08973 CCAST.g19432.t1 CDOUG.g4760.t1 CELEG.C05D2.10b CJAPO.CJA26442b CKAMA.g18396.t1 CLATE.FL83_18523-RA CMONO.g8899.t1 CNOUR.g2608.t1 CPLIC.g14447.t1 CREMA.FL82_16788-RA CSINI.Csp5_scaffold_01708.g22651.t1 CSP21.g2572.t1 CSP26.g20740.t1 CSP28.g4896.t1 CSP29.g2471.t1 CSP31.g14117.t1 CSP32.g15960.t1 CSP34.Sp34_30132300.t1 CSP38.g7284.t1 CSP39.g20274.t1 CSP40.g19697.t1 CTROP.Csp11.Scaffold626.g6364.t1 CVIRI.g5408.t1 DCORO.DCO_009771
OG0007062: CAFRA.g7952.t1 CANGA.Cang_2012_03_13_00677.g13375.t1 CBREN.CBN18219 CBRIG.CBG24609 CCAST.g16955.t1 CDOUG.g11048.t1 CELEG.T07C4.9a CJAPO.CJA13079 CKAMA.g735.t1 CLATE.FL83_13492-RA CMONO.g1609.t1 CNOUR.g2527.t1 CPLIC.g2864.t1 CREMA.FL82_20825-RA CSINI.Csp5_scaffold_00332.g9571.t1 CSP21.g4753.t1 CSP26.g15456.t1 CSP28.g4824.t1 CSP29.g2546.t1 CSP31.g2663.t1 CSP32.g15891.t1 CSP34.Sp34_30119610.t1 CSP38.g13309.t1 CSP39.g22517.t1 CSP40.g474.t1 CTROP.Csp11.Scaffold628.g7396.t1 CVIRI.g12624.t1 DCORO.DCO_007399
OG0007063: CAFRA.g7954.t1 CANGA.Cang_2012_03_13_00280.g8411.t1 CBREN.CBN22644 CBRIG.CBG24611 CCAST.g18534.t1 CDOUG.g11046.t1 CELEG.T07A5.6c CJAPO.CJA01422 CKAMA.g733.t1 CLATE.FL83_13494-RA CMONO.g16219.t1 CNOUR.g2529.t1 CPLIC.g4574.t1 CREMA.FL82_20828-RA CSINI.Csp5_scaffold_00332.g9569.t1 CSP21.g7270.t1 CSP26.g14955.t1 CSP28.g4826.t1 CSP29.g2535.t1 CSP31.g2661.t1 CSP32.g15889.t1 CSP34.Sp34_30119300.t1 CSP38.g3087.t1 CSP39.g22519.t1 CSP40.g476.t1 CTROP.Csp11.Scaffold628.g7395.t1 CVIRI.g4090.t1 DCORO.DCO_024041
OG0007066: CAFRA.g7970.t1 CANGA.Cang_2012_03_13_00017.g1132.t3 CBREN.CBN15383 CBRIG.CBG23794 CCAST.g18511.t1 CDOUG.g11031.t1 CELEG.Y70G10A.3.1 CJAPO.CJA17366a CKAMA.g724.t1 CLATE.FL83_13510-RA CMONO.g15067.t1 CNOUR.g2543.t1 CPLIC.g13710.t1 CREMA.FL82_20844-RA CSINI.Csp5_scaffold_00433.g11307.t1 CSP21.g8011.t1 CSP26.g14400.t1 CSP28.g4837.t1 CSP29.g2524.t1 CSP31.g23923.t1 CSP32.g10325.t1 CSP34.Sp34_30117400.t1 CSP38.g5702.t1 CSP39.g5029.t1 CSP40.g18049.t1 CTROP.Csp11.Scaffold628.g7418.t1 CVIRI.g10365.t1 DCORO.DCO_006173
OG0007067: CAFRA.g7978.t1 CANGA.Cang_2012_03_13_00099.g4314.t1 CBREN.CBN14719 CBRIG.CBG24677 CCAST.g5692.t1 CDOUG.g7170.t1 CELEG.ZK121.2 CJAPO.CJA05303 CKAMA.g720.t1 CLATE.FL83_13517-RA CMONO.g20015.t1 CNOUR.g2551.t1 CPLIC.g5886.t1 CREMA.FL82_16735-RA CSINI.Csp5_scaffold_00448.g11499.t1 CSP21.g4287.t1 CSP26.g1077.t1 CSP28.g4845.t1 CSP29.g2519.t1 CSP31.g14147.t1 CSP32.g10332.t1 CSP34.Sp34_30116400.t1 CSP38.g2264.t1 CSP39.g29159.t1 CSP40.g12295.t1 CTROP.Csp11.Scaffold628.g7426.t2 CVIRI.g10073.t1 DCORO.DCO_005099
OG0007068: CAFRA.g7984.t2 CANGA.Cang_2012_03_13_00254.g7963.t1 CBREN.CBN05901 CBRIG.CBG05166 CCAST.g6017.t1 CDOUG.g7179.t1 CELEG.Y32H12A.4.1 CJAPO.CJA08450 CKAMA.g714.t1 CLATE.FL83_13525-RA CMONO.g6438.t1 CNOUR.g2599.t1 CPLIC.g5838.t1 CREMA.FL82_16743-RA CSINI.Csp5_scaffold_00448.g11509.t1 CSP21.g6369.t1 CSP26.g1100.t1 CSP28.g4889.t1 CSP29.g2478.t1 CSP31.g23248.t1 CSP32.g10340.t1 CSP34.Sp34_30115400.t1 CSP38.g7300.t1 CSP39.g20281.t1 CSP40.g12307.t1 CTROP.Csp11.Scaffold628.g7459.t1 CVIRI.g14444.t1 DCORO.DCO_021743
